country,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,,,,,36.4,87.5,106,139,166,156,173,181,182,166,174,183,
Albania,,,,,,,,,,,,,1110,1090,1050,1090,1130
United Arab Emirates,,,,,,,,,,,886,885,1010,1060,1080,1080,1220
Argentina,477,508,550,605,616,641,675,727,807,863,908,955,1070,1150,1210,1180,1360
Azerbaijan,,93.2,144,194,263,304,361,402,465,542,626,,,,,,
Burundi,12.9,16.4,18.6,19.1,19.7,22.5,30.4,34.5,36.4,28.8,33.1,33.1,,,,,
Benin,46.7,60.3,60,52.5,77.4,95.2,111,124,134,149,162,168,183,205,237,289,323
Burkina Faso,54.4,108,57.7,61.5,69,71,78.6,90.5,105,112,127,141,161,174,178,182,194
Bangladesh,256,262,267,272,277,279,334,477,548,527,535,653,696,731,788,849,903
Bulgaria,,,,,,,,,,,,,,,,1570,1370
Belize,572,761,839,938,1050,943,968,685,678,721,692,632,730,674,651,714,760
Brazil,380,419,432,442,469,478,535,618,644,624,619,586,577,658,665,663,
Brunei,,,,,1330,1400,1460,1470,1900,1550,1630,1590,1560,1510,1510,1600,
Botswana,362,360,354,395,442,510,510,479,592,646,672,665,636,696,750,778,815
Central African Republic,,,,,,22.7,,36.9,39,63.6,43.1,53.5,56.2,53.6,,,
China,,,6.52,7.36,8.16,9.11,10.3,11.8,13.3,15,17.1,19.3,22.3,25.6,29.2,33.2,36.5
Cote d'Ivoire,75.6,78.3,71,72.5,80,102,127,214,179,182,199,189,212,263,260,262,298
Cameroon,1.17,,,,46,43.5,53.4,49.8,52.7,59.7,66.6,83.7,87.4,83,132,131,119
"Congo, Dem. Rep.",0.47,0.78,1.53,2.92,4.85,11.9,12,16,26.6,33.9,44.6,48.9,36.8,38.8,44.6,,
"Congo, Rep.",14.6,20.6,20.7,38.6,41.6,49,54.8,65.2,88.9,91.8,117,137,138,154,,,
Colombia,,,,,,1070,1040,1100,1170,1220,1300,1380,1400,1490,1550,1650,1800
Comoros,71.5,62.2,52.9,46,49.3,62.7,60.8,80.3,93.1,106,120,124,130,127,127,138,135
Cape Verde,922,1100,1180,1270,1400,1230,1460,1550,1640,1700,1770,1860,1850,2050,2120,2190,2010
Costa Rica,642,713,721,1050,1010,950,974,988,989,993,1030,1090,1180,1250,1340,1450,1460
Cyprus,,,,,,,,,,,,865,897,1410,1410,1510,1440
Djibouti,,,,,41.3,57,67.8,78.9,90.1,113,123,125,106,148,228,250,203
Dominican Republic,,,,,,,,584,688,664,712,737,754,802,874,794,772
Ecuador,,340,356,363,421,390,520,606,590,620,717,745,762,800,814,944,
Egypt,,,,,,,,352,364,371,356,367,380,382,392,412,480
Estonia,,,,,1700,2090,2010,2060,2150,2240,2310,2090,2160,2170,2140,2010,2050
Ethiopia,,,66.7,75.2,78.3,91.1,103,111,137,,,,,,,,
Gabon,,,,,142,143,157,171,163,205,,,,,,,
Georgia,207,354,442,495,555,599,683,732,823,806,872,898,978,1060,1180,902,869
Ghana,,177,207,218,244,268,279,341,448,448,492,584,544,614,725,767,762
Guinea,18.8,19.9,28.8,33.6,36.3,43.1,50,55.9,64.6,67.3,75.3,71.9,70,82.9,86.2,94.5,95.2
Guinea-Bissau,9.51,13.8,25.8,34.9,44.4,61.3,48,63.1,76,63.9,79,97.8,94.9,118,142,147,156
Equatorial Guinea,,,,,,,,,,172,189,200,271,280,293,307,295
Croatia,,,,,,,1480,1490,1400,1410,1410,1430,1450,1440,1440,1450,1440
Haiti,209,239,274,303,329,349,336,334,330,303,218,265,281,279,275,267,253
Hungary,,,,,,,,,1030,980,1020,1020,1040,1050,1090,1240,1270
Israel,,,,,1030,1020,1070,1060,944,952,931,1000,990,1120,1110,1070,1070
Italy,685,680,687,697,,,,,627,659,666,685,699,668,721,691,715
Kyrgyz Republic,,,,,,74.3,101,153,202,253,328,475,514,527,593,678,700
Kiribati,,,,,,,,162,178,197,,,,,,,
Kuwait,1080,1210,1300,1340,1300,1210,1160,1230,1200,1140,1170,1210,1260,1300,1280,1260,1250
Lao,,,,,,,,,,335,393,447,503,540,599,639,601
Lebanon,,667,679,696,737,767,773,767,712,648,625,611,583,578,559,532,493
Libya,655,641,627,616,612,626,638,792,866,,,,,,,,
Lesotho,214,258,341,210,212,223,284,355,286,316,326,349,364,385,414,392,415
Latvia,944,959,1060,1200,1250,1280,1390,1270,1330,1370,1350,1330,1260,1400,1340,1250,1260
Moldova,976,1050,1120,1260,1360,1410,1500,1450,1530,1660,1540,937,1060,1160,1250,1350,1380
Madagascar,18.5,20,21.8,26.4,36.9,39.6,106,52.3,53.9,59.3,60.1,73.4,72.2,79.8,86.1,98.4,107
Maldives,641,713,771,850,911,974,979,1070,1000,990,1200,977,985,945,972,986,976
North Macedonia,,,,614,767,830,875,906,934,943,967,988,997,1030,1020,1040,1060
Mali,54.9,57.1,84,71.3,90.4,86.6,97.4,125,155,144,146,138,143,164,174,175,181
Malta,,,,,,,907,954,1000,1140,,1960,1870,1830,1280,1260,1100
Myanmar,113,115,116,120,124,126,130,122,143,156,176,198,251,186,240,341,
Mauritania,,,,,,,,,87.8,97.8,114,132,144,163,168,177,174
Mauritius,,,,,,,,,,,,1960,1840,1890,1880,1910,1920
Malawi,,,,128,,165,190,192,213,247,,106,182,148,179,170,
Malaysia,,,,,,,,,,735,767,772,755,709,705,708,706
Namibia,103,99.5,144,155,157,170,170,456,671,748,881,935,913,937,1070,1150,1220
